        2000           3
      0    0    1
      2.   2.   6.
    -0.3277244279324675E+02 -0.1930390879990958E+01 -0.8504096503878317E+00
     0.4840770027644243E+00  0.3274396939109942E+01  0.4820121132371193E+01
  0.1007002400976491E-04  0.6117708461119938E-03  0.1436645600451214E-03  0.2824067728601741E-08
  0.1016373831864639E-04  0.6174635688858128E-03  0.1450014045782646E-03  0.2876874006967984E-08
  0.1025832475769166E-04  0.6232092588248846E-03  0.1463506875995792E-03  0.2930667679126824E-08
  0.1035379144317489E-04  0.6290084086533660E-03  0.1477125248174188E-03  0.2985467207418646E-08
  0.1045014656690242E-04  0.6348615156770532E-03  0.1490870330160614E-03  0.3041291399383484E-08
  0.1054739839691571E-04  0.6407690818259481E-03  0.1504743300657052E-03  0.3098159414215114E-08
  0.1064555527820080E-04  0.6467316136972210E-03  0.1518745349325582E-03  0.3156090769335786E-08
  0.1074462563340440E-04  0.6527496225985713E-03  0.1532877676890200E-03  0.3215105347093908E-08
  0.1084461796355657E-04  0.6588236245919895E-03  0.1547141495239593E-03  0.3275223401586912E-08
  0.1094554084880022E-04  0.6649541405379263E-03  0.1561538027530862E-03  0.3336465565611693E-08
  0.1104740294912735E-04  0.6711416961398703E-03  0.1576068508294199E-03  0.3398852857744990E-08
  0.1115021300512212E-04  0.6773868219893402E-03  0.1590734183538553E-03  0.3462406689556123E-08
  0.1125397983871090E-04  0.6836900536112927E-03  0.1605536310858257E-03  0.3527148872954593E-08
  0.1135871235391922E-04  0.6900519315099536E-03  0.1620476159540657E-03  0.3593101627675025E-08
  0.1146441953763584E-04  0.6964730012150714E-03  0.1635555010674731E-03  0.3660287588902065E-08
  0.1157111046038389E-04  0.7029538133286017E-03  0.1650774157260720E-03  0.3728729815037803E-08
  0.1167879427709918E-04  0.7094949235718237E-03  0.1666134904320773E-03  0.3798451795614428E-08
  0.1178748022791578E-04  0.7160968928328938E-03  0.1681638569010621E-03  0.3869477459354800E-08
  0.1189717763895889E-04  0.7227602872148399E-03  0.1697286480732278E-03  0.3941831182383715E-08
  0.1200789592314511E-04  0.7294856780840003E-03  0.1713079981247801E-03  0.4015537796592679E-08
  0.1211964458099011E-04  0.7362736421189125E-03  0.1729020424794089E-03  0.4090622598161070E-08
  0.1223243320142392E-04  0.7431247613596550E-03  0.1745109178198760E-03  0.4167111356236587E-08
  0.1234627146261362E-04  0.7500396232576459E-03  0.1761347620997089E-03  0.4245030321777983E-08
  0.1246116913279395E-04  0.7570188207259042E-03  0.1777737145550047E-03  0.4324406236563126E-08
  0.1257713607110537E-04  0.7640629521897750E-03  0.1794279157163413E-03  0.4405266342365442E-08
  0.1269418222844015E-04  0.7711726216381282E-03  0.1810975074208010E-03  0.4487638390301916E-08
  0.1281231764829617E-04  0.7783484386750283E-03  0.1827826328241043E-03  0.4571550650355862E-08
  0.1293155246763877E-04  0.7855910185718848E-03  0.1844834364128564E-03  0.4657031921077708E-08
  0.1305189691777058E-04  0.7929009823200866E-03  0.1862000640169077E-03  0.4744111539467119E-08
  0.1317336132520944E-04  0.8002789566841225E-03  0.1879326628218284E-03  0.4832819391039902E-08
  0.1329595611257448E-04  0.8077255742551949E-03  0.1896813813814982E-03  0.4923185920083055E-08
  0.1341969179948049E-04  0.8152414735053306E-03  0.1914463696308142E-03  0.5015242140101575E-08
  0.1354457900344061E-04  0.8228272988419930E-03  0.1932277788985153E-03  0.5109019644460535E-08
  0.1367062844077731E-04  0.8304837006631988E-03  0.1950257619201253E-03  0.5204550617226115E-08
  0.1379785092754205E-04  0.8382113354131485E-03  0.1968404728510169E-03  0.5301867844209302E-08
  0.1392625738044328E-04  0.8460108656383687E-03  0.1986720672795961E-03  0.5401004724216043E-08
  0.1405585881778328E-04  0.8538829600443779E-03  0.2005207022406090E-03  0.5501995280507703E-08
  0.1418666636040352E-04  0.8618282935528747E-03  0.2023865362285715E-03  0.5604874172475787E-08
  0.1431869123263898E-04  0.8698475473594578E-03  0.2042697292113241E-03  0.5709676707534881E-08
  0.1445194476328129E-04  0.8779414089918790E-03  0.2061704426437112E-03  0.5816438853237951E-08
  0.1458643838655080E-04  0.8861105723688374E-03  0.2080888394813889E-03  0.5925197249618111E-08
  0.1472218364307772E-04  0.8943557378593173E-03  0.2100250841947583E-03  0.6035989221761098E-08
  0.1485919218089246E-04  0.9026776123424753E-03  0.2119793427830302E-03  0.6148852792612803E-08
  0.1499747575642506E-04  0.9110769092680836E-03  0.2139517827884186E-03  0.6263826696026202E-08
  0.1513704623551400E-04  0.9195543487175322E-03  0.2159425733104660E-03  0.6380950390052191E-08
  0.1527791559442442E-04  0.9281106574653955E-03  0.2179518850205018E-03  0.6500264070478884E-08
  0.1542009592087574E-04  0.9367465690415705E-03  0.2199798901762338E-03  0.6621808684624001E-08
  0.1556359941507890E-04  0.9454628237939890E-03  0.2220267626364760E-03  0.6745625945385095E-08
