        2000           2
      0    0
      2.   1.
    -0.2477741487796333E+01 -0.1963228295925442E+00
     0.3827695701349945E+00  0.1451078769857977E+01
  0.4685286272594426E-04  0.4338138729119018E-03  0.6777726327368609E-04
  0.4728888786801173E-04  0.4378504869040054E-03  0.6840792694233899E-04
  0.4772897077546328E-04  0.4419246559855313E-03  0.6904445806087475E-04
  0.4817314921093765E-04  0.4460367294538596E-03  0.6968691120205181E-04
  0.4862146128850266E-04  0.4501870598532806E-03  0.7033534144591231E-04
  0.4907394547692574E-04  0.4543760030051415E-03  0.7098980438449192E-04
  0.4953064060297487E-04  0.4586039180382729E-03  0.7165035612657365E-04
  0.4999158585475018E-04  0.4628711674196957E-03  0.7231705330248537E-04
  0.5045682078504667E-04  0.4671781169856142E-03  0.7298995306894192E-04
  0.5092638531474806E-04  0.4715251359726941E-03  0.7366911311393201E-04
  0.5140031973625247E-04  0.4759125970496324E-03  0.7435459166165049E-04
  0.5187866471692965E-04  0.4803408763490180E-03  0.7504644747747597E-04
  0.5236146130261071E-04  0.4848103534994876E-03  0.7574473987299510E-04
  0.5284875092111013E-04  0.4893214116581809E-03  0.7644952871107282E-04
  0.5334057538578057E-04  0.4938744375434936E-03  0.7716087441096981E-04
  0.5383697689910084E-04  0.4984698214681362E-03  0.7787883795350735E-04
  0.5433799805629715E-04  0.5031079573724974E-03  0.7860348088627994E-04
  0.5484368184899824E-04  0.5077892428583177E-03  0.7933486532891621E-04
  0.5535407166892423E-04  0.5125140792226722E-03  0.8007305397838836E-04
  0.5586921131161015E-04  0.5172828714922713E-03  0.8081811011437116E-04
  0.5638914498016383E-04  0.5220960284580766E-03  0.8157009760465009E-04
  0.5691391728905893E-04  0.5269539627102378E-03  0.8232908091057978E-04
  0.5744357326796320E-04  0.5318570906733530E-03  0.8309512509259301E-04
  0.5797815836560243E-04  0.5368058326420561E-03  0.8386829581576058E-04
  0.5851771845366025E-04  0.5418006128169323E-03  0.8464865935540274E-04
  0.5906229983071435E-04  0.5468418593407668E-03  0.8543628260275241E-04
  0.5961194922620919E-04  0.5519300043351283E-03  0.8623123307067095E-04
  0.6016671380446587E-04  0.5570654839372921E-03  0.8703357889941684E-04
  0.6072664116872909E-04  0.5622487383375037E-03  0.8784338886246743E-04
  0.6129177936525199E-04  0.5674802118165877E-03  0.8866073237239506E-04
  0.6186217688741883E-04  0.5727603527839053E-03  0.8948567948679717E-04
  0.6243788267990615E-04  0.5780896138156612E-03  0.9031830091428126E-04
  0.6301894614288261E-04  0.5834684516935670E-03  0.9115866802050550E-04
  0.6360541713624789E-04  0.5888973274438599E-03  0.9200685283427495E-04
  0.6419734598391115E-04  0.5943767063766856E-03  0.9286292805369438E-04
  0.6479478347810911E-04  0.5999070581258420E-03  0.9372696705237778E-04
  0.6539778088376451E-04  0.6054888566888925E-03  0.9459904388571544E-04
  0.6600638994288503E-04  0.6111225804676495E-03  0.9547923329719897E-04
  0.6662066287900320E-04  0.6168087123090329E-03  0.9636761072480495E-04
  0.6724065240165750E-04  0.6225477395463060E-03  0.9726425230743715E-04
  0.6786641171091539E-04  0.6283401540406934E-03  0.9816923489142895E-04
  0.6849799450193822E-04  0.6341864522233817E-03  0.9908263603710543E-04
  0.6913545496958869E-04  0.6400871351379112E-03  0.1000045340254062E-03
  0.6977884781308129E-04  0.6460427084829573E-03  0.1009350078645697E-03
  0.7042822824067584E-04  0.6520536826555095E-03  0.1018741372968791E-03
  0.7108365197441487E-04  0.6581205727944476E-03  0.1028220028054703E-03
  0.7174517525490496E-04  0.6642438988245211E-03  0.1037786856212036E-03
  0.7241285484614267E-04  0.6704241855007365E-03  0.1047442677295979E-03
  0.7308674804038533E-04  0.6766619624531529E-03  0.1057188318778301E-03
  0.7376691266306722E-04  0.6829577642320933E-03  0.1067024615817981E-03
  0.7445340707776137E-04  0.6893121303537718E-03  0.1076952411332498E-03
  0.7514629019118766E-04  0.6957256053463444E-03  0.1086972556069774E-03
  0.7584562145826757E-04  0.7021987387963834E-03  0.1097085908680793E-03
  0.7655146088722574E-04  0.7087320853957840E-03  0.1107293335792874E-03
  0.7726386904473928E-04  0.7153262049891001E-03  0.1117595712083635E-03
  0.7798290706113479E-04  0.7219816626213210E-03  0.1127993920355633E-03
  0.7870863663563391E-04  0.7286990285860880E-03  0.1138488851611698E-03
  0.7944112004164753E-04  0.7354788784743563E-03  0.1149081405130960E-03
  0.8018042013211944E-04  0.7423217932235064E-03  0.1159772488545575E-03
  0.8092660034491948E-04  0.7492283591669093E-03  0.1170563017918170E-03
  0.8167972470828717E-04  0.7561991680839495E-03  0.1181453917819988E-03
  0.8243985784632573E-04  0.7632348172505080E-03  0.1192446121409771E-03
  0.8320706498454742E-04  0.7703359094899164E-03  0.1203540570513359E-03
  0.8398141195547038E-04  0.7775030532243748E-03  0.1214738215704030E-03
  0.8476296520426757E-04  0.7847368625268494E-03  0.1226040016383576E-03
  0.8555179179446831E-04  0.7920379571734468E-03  0.1237446940864138E-03
  0.8634795941371290E-04  0.7994069626962732E-03  0.1248959966450784E-03
  0.8715153637956076E-04  0.8068445104367801E-03  0.1260580079524859E-03
  0.8796259164535251E-04  0.8143512375996028E-03  0.1272308275628094E-03
  0.8878119480612692E-04  0.8219277873068965E-03  0.1284145559547509E-03
  0.8960741610459253E-04  0.8295748086531719E-03  0.1296092945401071E-03
  0.9044132643715515E-04  0.8372929567606393E-03  0.1308151456724176E-03
  0.9128299736000132E-04  0.8450828928350613E-03  0.1320322126556900E-03
  0.9213250109523837E-04  0.8529452842221223E-03  0.1332605997532073E-03
  0.9298991053709170E-04  0.8608808044643155E-03  0.1345004121964156E-03
  0.9385529925815961E-04  0.8688901333583575E-03  0.1357517561938945E-03
  0.9472874151572657E-04  0.8769739570131319E-03  0.1370147389404094E-03
  0.9561031225813492E-04  0.8851329679081644E-03  0.1382894686260481E-03
  0.9650008713121610E-04  0.8933678649526414E-03  0.1395760544454410E-03
  0.9739814248478178E-04  0.9016793535449690E-03  0.1408746066070669E-03
  0.9830455537917505E-04  0.9100681456328841E-03  0.1421852363426438E-03
  0.9921940359188306E-04  0.9185349597741180E-03  0.1435080559166075E-03
  0.1001427656242108E-03  0.9270805211976187E-03  0.1448431786356762E-03
  0.1010747207080171E-03  0.9357055618653401E-03  0.1461907188585040E-03
  0.1020153488125137E-03  0.9444108205345972E-03  0.1475507920054238E-03
  0.1029647306511267E-03  0.9531970428209991E-03  0.1489235145682787E-03
  0.1039229476884228E-03  0.9620649812619597E-03  0.1503090041203454E-03
  0.1048900821470996E-03  0.9710153953807951E-03  0.1517073793263481E-03
  0.1058662170150408E-03  0.9800490517514102E-03  0.1531187599525649E-03
  0.1068514360524373E-03  0.9891667240635824E-03  0.1545432668770274E-03
  0.1078458237989747E-03  0.9983691931888458E-03  0.1559810220998145E-03
  0.1088494655810870E-03  0.1007657247246983E-02  0.1574321487534403E-03
  0.1098624475192788E-03  0.1017031681673128E-02  0.1588967711133382E-03
  0.1108848565355148E-03  0.1026493299285489E-02  0.1603750146084417E-03
  0.1119167803606786E-03  0.1036042910353693E-02  0.1618670058318620E-03
  0.1129583075421004E-03  0.1045681332667761E-02  0.1633728725516644E-03
  0.1140095274511557E-03  0.1055409391607715E-02  0.1648927437217440E-03
  0.1150705302909332E-03  0.1065227920213831E-02  0.1664267494928010E-03
  0.1161414071039758E-03  0.1075137759257536E-02  0.1679750212234172E-03
  0.1172222497800923E-03  0.1085139757312954E-02  0.1695376914912349E-03
  0.1183131510642422E-03  0.1095234770829117E-02  0.1711148941042381E-03
  0.1194142045644944E-03  0.1105423664202837E-02  0.1727067641121376E-03
  0.1205255047600590E-03  0.1115707309852244E-02  0.1743134378178613E-03
  0.1216471470093950E-03  0.1126086588291013E-02  0.1759350527891495E-03
  0.1227792275583921E-03  0.1136562388203256E-02  0.1775717478702573E-03
  0.1239218435486299E-03  0.1147135606519122E-02  0.1792236631937647E-03
