        2000           2
      0    0
      2.   2.
    -0.4732669897435335E+01 -0.3092695515726674E+00
     0.3854908577683740E+00  0.1735348129134877E+01
  0.3173545557110037E-04  0.4654911122647465E-03  0.8483001147940385E-04
  0.3203079412074042E-04  0.4698225407437926E-03  0.8561936087197660E-04
  0.3232888116909692E-04  0.4741942682650130E-03  0.8641605426766135E-04
  0.3262974229442646E-04  0.4786066696679264E-03  0.8722015997633296E-04
  0.3293340331302359E-04  0.4830601232767796E-03  0.8803174694291500E-04
  0.3323989028143619E-04  0.4875550109329086E-03  0.8885088475327714E-04
  0.3354922949870123E-04  0.4920917180274021E-03  0.8967764364018758E-04
  0.3386144750860151E-04  0.4966706335340652E-03  0.9051209448932019E-04
  0.3417657110194327E-04  0.5012921500426891E-03  0.9135430884531779E-04
  0.3449462731885511E-04  0.5059566637926301E-03  0.9220435891791123E-04
  0.3481564345110821E-04  0.5106645747066988E-03  0.9306231758809539E-04
  0.3513964704445820E-04  0.5154162864253630E-03  0.9392825841436227E-04
  0.3546666590100880E-04  0.5202122063412685E-03  0.9480225563899190E-04
  0.3579672808159746E-04  0.5250527456340796E-03  0.9568438419440165E-04
  0.3612986190820324E-04  0.5299383193056409E-03  0.9657471970955393E-04
  0.3646609596637700E-04  0.5348693462154669E-03  0.9747333851642392E-04
  0.3680545910769431E-04  0.5398462491165586E-03  0.9838031765652652E-04
  0.3714798045223115E-04  0.5448694546915533E-03  0.9929573488750425E-04
