        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   4.
    -0.9200445017595858E+02 -0.9004289528984057E+01 -0.6682508843107740E+01 -0.8795273151555941E+00 -0.4373686643534324E+00
     0.5600758007790212E+00  0.3388930454725214E+01  0.4663200910201464E+01  0.8154460311340365E+01  0.9934165407339286E+01
  0.3643806938676268E-05  0.4534971488031836E-03  0.1252595864542602E-03  0.1704720577550581E-08  0.3635971618033357E-04  0.4340266937004811E-09
  0.3677717170531171E-05  0.4577172649660584E-03  0.1264252167263995E-03  0.1736596908272776E-08  0.3669806941191583E-04  0.4421424979047892E-09
  0.3711942979979456E-05  0.4619766500033586E-03  0.1276016933797563E-03  0.1769069285561242E-08  0.3703957107591519E-04  0.4504100572552748E-09
  0.3746487303869736E-05  0.4662756692747959E-03  0.1287891173296418E-03  0.1802148854597663E-08  0.3738425046551535E-04  0.4588322093468034E-09
  0.3781353106381718E-05  0.4706146915385930E-03  0.1299875904300636E-03  0.1835846968958453E-08  0.3773213714638000E-04  0.4674118448321285E-09
  0.3816543379280546E-05  0.4749940889830803E-03  0.1311972154824528E-03  0.1870175194511257E-08  0.3808326095918604E-04  0.4761519084139530E-09
  0.3852061142173526E-05  0.4794142372585864E-03  0.1324180962444725E-03  0.1905145313384304E-08  0.3843765202218061E-04  0.4850553998555390E-09
  0.3887909442769228E-05  0.4838755155096252E-03  0.1336503374389079E-03  0.1940769328009986E-08  0.3879534073376158E-04  0.4941253750102121E-09
  0.3924091357139002E-05  0.4883783064073816E-03  0.1348940447626394E-03  0.1977059465244027E-08  0.3915635777508215E-04  0.5033649468701154E-09
  0.3960609989980934E-05  0.4929229961824985E-03  0.1361493248956984E-03  0.2014028180561677E-08  0.3952073411267969E-04  0.5127772866345716E-09
  0.3997468474886254E-05  0.4975099746581690E-03  0.1374162855104077E-03  0.2051688162332357E-08  0.3988850100112887E-04  0.5223656247984192E-09
  0.4034669974608219E-05  0.5021396352835359E-03  0.1386950352806070E-03  0.2090052336174230E-08  0.4025968998571952E-04  0.5321332522606993E-09
  0.4072217681333506E-05  0.5068123751674014E-03  0.1399856838909633E-03  0.2129133869390179E-08  0.4063433290515930E-04  0.5420835214540697E-09
  0.4110114816956126E-05  0.5115285951122488E-03  0.1412883420463681E-03  0.2168946175486743E-08  0.4101246189430153E-04  0.5522198474953349E-09
  0.4148364633353887E-05  0.5162886996485814E-03  0.1426031214814226E-03  0.2209502918777521E-08  0.4139410938689834E-04  0.5625457093574897E-09
  0.4186970412667435E-05  0.5210930970695805E-03  0.1439301349700098E-03  0.2250818019072662E-08  0.4177930811837934E-04  0.5730646510636751E-09
  0.4225935467581885E-05  0.5259421994660834E-03  0.1452694963349562E-03  0.2292905656456021E-08  0.4216809112865610E-04  0.5837802829034549E-09
  0.4265263141611075E-05  0.5308364227618895E-03  0.1466213204577832E-03  0.2335780276151644E-08  0.4256049176495279E-04  0.5946962826718379E-09
