        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   6.
    -0.1186103505564120E+03 -0.1232215330921507E+02 -0.9571465560592499E+01 -0.1277353024662982E+01 -0.5910174093914152E+00
     0.5791344379856334E+00  0.3446784055084757E+01  0.4678378286266280E+01  0.8507479224879530E+01  0.1048327923135001E+02
  0.3488081206345779E-05  0.5192681064379115E-03  0.1474307700156100E-03  0.2219782846846781E-08  0.4607321968570678E-04  0.6196223173951377E-09
  0.3520542213316386E-05  0.5241002466515439E-03  0.1488027128387635E-03  0.2261290207436689E-08  0.4650196209189176E-04  0.6312085349360568E-09
  0.3553305311010004E-05  0.5289773503149683E-03  0.1501874216991927E-03  0.2303573701188994E-08  0.4693469398032435E-04  0.6430113995374512E-09
  0.3586373310762861E-05  0.5338998357628825E-03  0.1515850153706203E-03  0.2346647840598635E-08  0.4737145246868228E-04  0.6550349621657283E-09
  0.3619749050074228E-05  0.5388681252211166E-03  0.1529956137315401E-03  0.2390527409516877E-08  0.4781227501989249E-04  0.6672833495327388E-09
  0.3653435392849890E-05  0.5438826448428057E-03  0.1544193377754876E-03  0.2435227468225039E-08  0.4825719944534096E-04  0.6797607655120384E-09
  0.3687435229647900E-05  0.5489438247449018E-03  0.1558563096214067E-03  0.2480763358603056E-08  0.4870626390811206E-04  0.6924714925816230E-09
  0.3721751477926609E-05  0.5540520990450228E-03  0.1573066525241114E-03  0.2527150709394696E-08  0.4915950692625818E-04  0.7054198932936423E-09
  0.3756387082295009E-05  0.5592079058986440E-03  0.1587704908848457E-03  0.2574405441571212E-08  0.4961696737609955E-04  0.7186104117715902E-09
  0.3791345014765400E-05  0.5644116875366357E-03  0.1602479502619406E-03  0.2622543773795275E-08  0.5007868449555487E-04  0.7320475752354885E-09
  0.3826628275008417E-05  0.5696638903031480E-03  0.1617391573815712E-03  0.2671582227987073E-08  0.5054469788750279E-04  0.7457359955555873E-09
  0.3862239890610423E-05  0.5749649646938491E-03  0.1632442401486127E-03  0.2721537634994469E-08  0.5101504752317460E-04  0.7596803708351124E-09
  0.3898182917333304E-05  0.5803153653945174E-03  0.1647633276575978E-03  0.2772427140369176E-08  0.5148977374557849E-04  0.7738854870226081E-09
  0.3934460439376669E-05  0.5857155513199917E-03  0.1662965502037754E-03  0.2824268210250924E-08  0.5196891727295540E-04  0.7883562195544212E-09
  0.3971075569642510E-05  0.5911659856534856E-03  0.1678440392942725E-03  0.2877078637361649E-08  0.5245251920226728E-04  0.8030975350278986E-09
  0.4008031450002307E-05  0.5966671358862631E-03  0.1694059276593595E-03  0.2930876547111750E-08  0.5294062101271751E-04  0.8181144929058645E-09
  0.4045331251566629E-05  0.6022194738576856E-03  0.1709823492638196E-03  0.2985680403820500E-08  0.5343326456930404E-04  0.8334122472529665E-09
  0.4082978174957237E-05  0.6078234757956293E-03  0.1725734393184247E-03  0.3041509017052776E-08  0.5393049212640555E-04  0.8489960485044857E-09
  0.4120975450581727E-05  0.6134796223572787E-03  0.1741793342915173E-03  0.3098381548074257E-08  0.5443234633140098E-04  0.8648712452682191E-09
  0.4159326338910722E-05  0.6191883986702981E-03  0.1758001719206998E-03  0.3156317516427304E-08  0.5493887022832251E-04  0.8810432861600465E-09
  0.4198034130757648E-05  0.6249502943743852E-03  0.1774360912246328E-03  0.3215336806629795E-08  0.5545010726154252E-04  0.8975177216738210E-09
  0.4237102147561114E-05  0.6307658036632125E-03  0.1790872325149425E-03  0.3275459674999208E-08  0.5596610127949490E-04  0.9143002060862174E-09
  0.4276533741669913E-05  0.6366354253267544E-03  0.1807537374082388E-03  0.3336706756604272E-08  0.5648689653843067E-04  0.9313964993971934E-09
  0.4316332296630683E-05  0.6425596627940111E-03  0.1824357488382451E-03  0.3399099072346614E-08  0.5701253770620873E-04  0.9488124693067331E-09
  0.4356501227478245E-05  0.6485390241761258E-03  0.1841334110680405E-03  0.3462658036174784E-08  0.5754306986612156E-04  0.9665540932285479E-09
  0.4397043981028637E-05  0.6545740223099062E-03  0.1858468697024160E-03  0.3527405462433177E-08  0.5807853852075660E-04  0.9846274603414240E-09
  0.4437964036174879E-05  0.6606651748017444E-03  0.1875762717003447E-03  0.3593363573348332E-08  0.5861898959589345E-04  0.1003038773678926E-08
  0.4479264904185488E-05  0.6668130040719500E-03  0.1893217653875685E-03  0.3660555006655216E-08  0.5916446944443710E-04  0.1021794352258166E-08
  0.4520950129005780E-05  0.6730180373994910E-03  0.1910835004693011E-03  0.3729002823366080E-08  0.5971502485038791E-04  0.1040900633248380E-08
  0.4563023287561962E-05  0.6792808069671532E-03  0.1928616280430499E-03  0.3798730515684569E-08  0.6027070303284825E-04  0.1060364174180039E-08
  0.4605487990068062E-05  0.6856018499071143E-03  0.1946563006115550E-03  0.3869762015067788E-08  0.6083155165006643E-04  0.1080191655195271E-08
  0.4648347880335715E-05  0.6919817083469460E-03  0.1964676720958504E-03  0.3942121700439116E-08  0.6139761880351812E-04  0.1100389881340350E-08
