376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
3.344127e-01  1.240563e-02 -3.549731e+00 -1.926086e+00  6.083827e-01 -2.888016e+00 -2.297398e+00 -5.050119e-01 -2.988634e+00
3.541562e-01  6.878776e-03 -2.930449e+00 -2.230598e+00  6.833439e-01 -2.377780e+00 -2.489664e+00 -5.370717e-01 -2.929055e+00
3.747436e-01  3.724781e-03 -2.391890e+00 -2.467535e+00  7.359200e-01 -1.938539e+00 -2.628815e+00 -5.566330e-01 -2.856331e+00
3.960570e-01  1.972460e-03 -1.932923e+00 -2.638215e+00  7.666516e-01 -1.566969e+00 -2.717616e+00 -5.643777e-01 -2.772402e+00
4.179666e-01  1.022201e-03 -1.548909e+00 -2.747057e+00  7.771001e-01 -1.257616e+00 -2.760717e+00 -5.614337e-01 -2.679530e+00
4.403322e-01  5.209091e-04 -1.232835e+00 -2.800762e+00  7.695910e-01 -1.003712e+00 -2.764058e+00 -5.492404e-01 -2.580133e+00
4.630064e-01  2.654099e-04 -9.763920e-01 -2.807448e+00  7.469306e-01 -7.979126e-01 -2.734279e+00 -5.294116e-01 -2.476631e+00
4.858360e-01  1.387857e-04 -7.708752e-01 -2.775823e+00  7.121373e-01 -6.328836e-01 -2.678189e+00 -5.036098e-01 -2.371307e+00
5.086657e-01  7.469931e-05 -6.078502e-01 -2.714510e+00  6.682115e-01 -5.017224e-01 -2.602330e+00 -4.734423e-01 -2.266216e+00
5.313398e-01  3.885411e-05 -4.795888e-01 -2.631541e+00  6.179606e-01 -3.982164e-01 -2.512669e+00 -4.403851e-01 -2.163114e+00
5.537055e-01  1.715519e-05 -3.793053e-01 -2.534023e+00  5.638817e-01 -3.169699e-01 -2.414414e+00 -4.057343e-01 -2.063436e+00
5.756150e-01  5.552249e-06 -3.012374e-01 -2.427982e+00  5.080983e-01 -2.534290e-01 -2.311923e+00 -3.705829e-01 -1.968292e+00
5.969285e-01  2.079743e-06 -2.406226e-01 -2.318316e+00  4.523406e-01 -2.038397e-01 -2.208707e+00 -3.358162e-01 -1.878489e+00
6.175159e-01  3.240859e-06 -1.936086e-01 -2.208854e+00  3.979578e-01 -1.651653e-01 -2.107481e+00 -3.021226e-01 -1.794568e+00
6.372593e-01  4.741278e-06 -1.571315e-01 -2.102461e+00  3.459523e-01 -1.349865e-01 -2.010257e+00 -2.700124e-01 -1.716837e+00
6.560547e-01  3.942388e-06 -1.287869e-01 -2.001181e+00  2.970249e-01 -1.113986e-01 -1.918444e+00 -2.398422e-01 -1.645420e+00
6.738132e-01  1.077777e-06 -1.067060e-01 -1.906375e+00  2.516242e-01 -9.291565e-02 -1.832956e+00 -2.118396e-01 -1.580291e+00
6.904625e-01 -1.762162e-06 -8.944752e-02 -1.818863e+00  2.099961e-01 -7.838663e-02 -1.754314e+00 -1.861283e-01 -1.521308e+00
7.059474e-01 -2.709922e-06 -7.590624e-02 -1.739049e+00  1.722281e-01 -6.692411e-02 -1.682736e+00 -1.627499e-01 -1.468251e+00
7.202302e-01 -1.495814e-06 -6.523779e-02 -1.667022e+00  1.382885e-01 -5.784617e-02 -1.618209e+00 -1.416839e-01 -1.420836e+00
7.332910e-01  6.782643e-07 -5.679827e-02 -1.602647e+00  1.080597e-01 -5.062955e-02 -1.560557e+00 -1.228634e-01 -1.378744e+00
7.451267e-01  2.255936e-06 -5.009655e-02 -1.545628e+00  8.136401e-02 -4.487255e-02 -1.509488e+00 -1.061889e-01 -1.341630e+00
7.557510e-01  2.384622e-06 -4.475711e-02 -1.495566e+00  5.798471e-02 -4.026627e-02 -1.464632e+00 -9.153814e-02 -1.309138e+00
7.651927e-01  1.239288e-06 -4.049187e-02 -1.451997e+00  3.768203e-02 -3.657241e-02 -1.425569e+00 -7.877487e-02 -1.280906e+00
7.734947e-01 -3.586305e-07 -3.707891e-02 -1.414420e+00  2.020462e-02 -3.360642e-02 -1.391854e+00 -6.775450e-02 -1.256577e+00
7.807123e-01 -1.565436e-06 -3.434646e-02 -1.382316e+00  5.298025e-03 -3.122464e-02 -1.363028e+00 -5.832883e-02 -1.235795e+00
7.869114e-01 -1.943466e-06 -3.216083e-02 -1.355168e+00 -7.289530e-03 -2.931459e-02 -1.338633e+00 -5.034933e-02 -1.218219e+00
7.921662e-01 -1.534901e-06 -3.041722e-02 -1.332464e+00 -1.780316e-02 -2.778749e-02 -1.318219e+00 -4.366952e-02 -1.203515e+00
