376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
2.807159e+00 -2.141168e-09 -2.669931e-02 -5.765690e-02
2.807168e+00 -2.139642e-09 -2.669888e-02 -5.765625e-02
2.807169e+00 -2.139417e-09 -2.669882e-02 -5.765615e-02
2.807169e+00 -2.139407e-09 -2.669881e-02 -5.765614e-02
2.807174e+00 -2.139334e-09 -2.669859e-02 -5.765581e-02
2.807204e+00 -2.138833e-09 -2.669708e-02 -5.765355e-02
2.807313e+00 -2.136996e-09 -2.669155e-02 -5.764525e-02
2.807606e+00 -2.132105e-09 -2.667682e-02 -5.762314e-02
2.808246e+00 -2.121437e-09 -2.664459e-02 -5.757478e-02
2.809473e+00 -2.101143e-09 -2.658299e-02 -5.748229e-02
2.811606e+00 -2.066271e-09 -2.647618e-02 -5.732179e-02
2.815055e+00 -2.011024e-09 -2.630445e-02 -5.706333e-02
2.820318e+00 -1.929324e-09 -2.604452e-02 -5.667125e-02
2.827987e+00 -1.815774e-09 -2.567052e-02 -5.610515e-02
2.838736e+00 -1.666988e-09 -2.515547e-02 -5.532174e-02
2.853321e+00 -1.483144e-09 -2.447343e-02 -5.427734e-02
2.872564e+00 -1.269380e-09 -2.360228e-02 -5.293132e-02
2.897343e+00 -1.036466e-09 -2.252690e-02 -5.125013e-02
2.928573e+00 -8.001389e-10 -2.124233e-02 -4.921164e-02
2.967189e+00 -5.787109e-10 -1.975659e-02 -4.680938e-02
3.014123e+00 -3.891687e-10 -1.809240e-02 -4.405590e-02
3.070287e+00 -2.428165e-10 -1.628727e-02 -4.098479e-02
3.136542e+00 -1.421709e-10 -1.439164e-02 -3.765051e-02
3.213683e+00 -8.074348e-11 -1.246498e-02 -3.412600e-02
3.302415e+00 -4.624543e-11 -1.057030e-02 -3.049788e-02
3.403327e+00 -2.595024e-11 -8.767907e-03 -2.685989e-02
3.516879e+00 -1.150543e-11 -7.109377e-03 -2.330526e-02
3.643378e+00 -5.765014e-13 -5.632963e-03 -1.991934e-02
3.782971e+00  5.361842e-12 -4.361053e-03 -1.677323e-02
3.935625e+00  5.143840e-12 -3.300015e-03 -1.391949e-02
4.101127e+00  6.741190e-13 -2.442170e-03 -1.139022e-02
4.279073e+00 -3.718008e-12 -1.769213e-03 -9.197497e-03
4.468875e+00 -4.463524e-12 -1.256253e-03 -7.335804e-03
4.669759e+00 -1.446629e-12 -8.756834e-04 -5.785692e-03
4.880776e+00  2.278224e-12 -6.003332e-04 -4.518055e-03
5.100813e+00  3.436413e-12 -4.056227e-04 -3.498291e-03
5.328610e+00  1.402060e-12 -2.707326e-04 -2.689922e-03
5.562778e+00 -1.562274e-12 -1.789505e-04 -2.057380e-03
5.801821e+00 -2.673438e-12 -1.174507e-04 -1.567915e-03
6.044160e+00 -1.191931e-12 -7.675726e-05 -1.192681e-03
6.288163e+00  1.177237e-12 -5.009086e-05 -9.071691e-04
6.532165e+00  2.155534e-12 -3.273341e-05 -6.911601e-04
6.774505e+00  1.033789e-12 -2.147806e-05 -5.283780e-04
7.013547e+00 -9.033504e-13 -1.418797e-05 -4.059851e-04
7.247715e+00 -1.810047e-12 -9.460878e-06 -3.140243e-04
7.475513e+00 -1.000487e-12 -6.385678e-06 -2.448765e-04
7.695550e+00  6.172406e-13 -4.373553e-06 -1.927742e-04
7.906566e+00  1.559797e-12 -3.045387e-06 -1.533885e-04
8.107450e+00  1.108164e-12 -2.158476e-06 -1.234902e-04
8.297252e+00 -2.195937e-13 -1.558619e-06 -1.006808e-04
8.475199e+00 -1.281873e-12 -1.148151e-06 -8.318356e-05
8.640700e+00 -1.299740e-12 -8.645391e-07 -6.968282e-05
8.793354e+00 -3.716832e-13 -6.666628e-07 -5.920380e-05
8.932947e+00  7.587392e-13 -5.267313e-07 -5.102276e-05
