376 3
 0 0 1
 2 2 3
 -1.394601e+01 -6.288419e-01 -2.210049e-01
1.029632e+01 -2.433101e-13 -6.174015e-06 -2.102152e-04
1.046400e+01  5.517189e-14 -5.031803e-06 -1.847147e-04
1.066781e+01  1.988028e-13 -3.925351e-06 -1.579096e-04
1.091168e+01  1.952031e-13 -2.918600e-06 -1.309676e-04
1.119938e+01  9.311302e-14 -2.060718e-06 -1.051092e-04
1.153435e+01 -3.300198e-14 -1.377504e-06 -8.143998e-05
1.191965e+01 -1.131555e-13 -8.692610e-07 -6.080038e-05
1.235784e+01 -1.130730e-13 -5.157128e-07 -4.366879e-05
1.285091e+01 -4.821720e-14 -2.854259e-07 -3.014051e-05
1.340020e+01  3.012722e-14 -1.454060e-07 -1.997938e-05
1.400635e+01  7.002818e-14 -6.721636e-08 -1.271923e-05
1.466922e+01  5.275407e-14 -2.868533e-08 -7.781980e-06
1.538787e+01  1.754709e-15 -1.300225e-08 -4.582468e-06
1.616056e+01 -3.925294e-14 -7.769073e-09 -2.602225e-06
1.698474e+01 -4.136029e-14 -5.113283e-09 -1.427564e-06
1.785703e+01 -1.064190e-14 -1.944266e-09 -7.570635e-07
1.877332e+01  2.167655e-14  1.121964e-09 -3.880761e-07
1.972878e+01  2.842696e-14  2.309358e-09 -1.929919e-07
2.071794e+01  8.656742e-15  1.143238e-09 -9.467592e-08
2.173476e+01 -1.550671e-14 -9.215618e-10 -4.728042e-08
2.277275e+01 -2.163737e-14 -1.883203e-09 -2.428003e-08
2.382505e+01 -6.901602e-15 -1.012679e-09 -1.184769e-08
2.488458e+01  1.232508e-14  6.611538e-10 -4.420643e-09
2.594410e+01  1.803302e-14  1.516337e-09 -6.334659e-10
2.699641e+01  7.059741e-15  8.861184e-10  8.627598e-11
2.803440e+01 -8.258315e-15 -4.717225e-10 -8.678642e-10
2.905122e+01 -1.345978e-14 -1.253670e-09 -1.665823e-09
3.004038e+01 -5.170805e-15 -8.417419e-10 -1.263010e-09
3.099584e+01  7.561321e-15  2.612091e-10  1.786319e-11
3.191213e+01  1.298752e-14  1.034812e-09  1.069985e-09
3.278442e+01  7.098683e-15  8.774275e-10  1.096936e-09
3.360859e+01 -4.194966e-15  2.704281e-11  2.273597e-10
3.438128e+01 -1.138777e-14 -7.719670e-10 -7.423950e-10
3.509994e+01 -9.419110e-15 -9.291007e-10 -1.076385e-09
3.576280e+01 -7.823261e-16 -4.125830e-10 -6.247453e-10
3.636895e+01  7.570949e-15  3.400691e-10  1.951655e-10
3.691825e+01  9.850745e-15  8.151143e-10  8.057495e-10
3.741132e+01  5.040234e-15  7.670984e-10  8.758725e-10
3.784951e+01 -3.389293e-15  3.025503e-10  4.591779e-10
3.823481e+01 -1.041674e-14 -2.701441e-10 -1.391854e-10
3.856978e+01 -1.252939e-14 -6.597267e-10 -5.975499e-10
3.885747e+01 -9.125139e-15 -7.321510e-10 -7.444862e-10
3.910135e+01 -2.043566e-15 -5.244541e-10 -5.915201e-10
3.930515e+01  5.894688e-15 -1.727258e-10 -2.662885e-10
3.947283e+01  1.228551e-14  1.771500e-10  8.119806e-11
3.960844e+01  1.587312e-14  4.279670e-10  3.443998e-10
3.971604e+01  1.657251e-14  5.466461e-10  4.813253e-10
3.979960e+01  1.506866e-14  5.493872e-10  5.021990e-10
3.986293e+01  1.232542e-14  4.761887e-10  4.441213e-10
3.990960e+01  9.217483e-15  3.691401e-10  3.484305e-10
3.994290e+01  6.350725e-15  2.602159e-10  2.474573e-10
3.996576e+01  4.037602e-15  1.678648e-10  1.603857e-10
3.998073e+01  2.359211e-15  9.898105e-11  9.484666e-11
3.999000e+01  1.253617e-15  5.288359e-11  5.076290e-11
3.999532e+01  5.939892e-16  2.513468e-11  2.415042e-11
3.999810e+01  2.425244e-16  1.027880e-11  9.881289e-12
3.999937e+01  8.030690e-17  3.406080e-12  3.275109e-12
3.999985e+01  1.918870e-17  8.140767e-13  7.828412e-13
3.999998e+01  2.538023e-18  1.076831e-13  1.035538e-13
4.000000e+01  7.951083e-20  3.373517e-15  3.244165e-15
