376 3
 0 0 1
 2 2 2
 -9.884111e+00 -4.573827e-01 -1.579523e-01
8.137899e-01 -3.172532e-01 -8.119873e-01 -7.808636e-01
8.152987e-01 -3.147935e-01 -8.120719e-01 -7.801010e-01
8.174968e-01 -3.112448e-01 -8.121798e-01 -7.789887e-01
8.205780e-01 -3.063387e-01 -8.123011e-01 -7.774268e-01
8.247587e-01 -2.998074e-01 -8.124105e-01 -7.753026e-01
8.302747e-01 -2.914060e-01 -8.124595e-01 -7.724915e-01
8.373776e-01 -2.809392e-01 -8.123673e-01 -7.688584e-01
8.463297e-01 -2.682897e-01 -8.120107e-01 -7.642599e-01
8.573988e-01 -2.534456e-01 -8.112153e-01 -7.585465e-01
8.708525e-01 -2.365216e-01 -8.097495e-01 -7.515668e-01
8.869516e-01 -2.177704e-01 -8.073235e-01 -7.431723e-01
9.059434e-01 -1.975786e-01 -8.035949e-01 -7.332236e-01
9.280559e-01 -1.764476e-01 -7.981835e-01 -7.215981e-01
9.534907e-01 -1.549572e-01 -7.906940e-01 -7.081989e-01
9.824170e-01 -1.337187e-01 -7.807466e-01 -6.929640e-01
1.014966e+00 -1.133207e-01 -7.680115e-01 -6.758754e-01
1.051227e+00 -9.427929e-02 -7.522443e-01 -6.569670e-01
1.091241e+00 -7.699674e-02 -7.333168e-01 -6.363294e-01
1.134999e+00 -6.173761e-02 -7.112380e-01 -6.141116e-01
1.182440e+00 -4.862243e-02 -6.861633e-01 -5.905182e-01
1.233448e+00 -3.763890e-02 -6.583894e-01 -5.658022e-01
1.287854e+00 -2.866609e-02 -6.283356e-01 -5.402543e-01
1.345437e+00 -2.150595e-02 -5.965148e-01 -5.141885e-01
1.405925e+00 -1.591610e-02 -5.634970e-01 -4.879273e-01
1.468998e+00 -1.163924e-02 -5.298720e-01 -4.617865e-01
1.534295e+00 -8.426084e-03 -4.962134e-01 -4.360617e-01
1.601419e+00 -6.050803e-03 -4.630491e-01 -4.110177e-01
1.669940e+00 -4.319309e-03 -4.308391e-01 -3.868805e-01
1.739407e+00 -3.071833e-03 -3.999625e-01 -3.638336e-01
1.809349e+00 -2.181496e-03 -3.707116e-01 -3.420166e-01
1.879292e+00 -1.550536e-03 -3.432941e-01 -3.215270e-01
1.948758e+00 -1.105520e-03 -3.178388e-01 -3.024236e-01
2.017280e+00 -7.924499e-04 -2.944059e-01 -2.847311e-01
2.084403e+00 -5.722993e-04 -2.729987e-01 -2.684457e-01
2.149701e+00 -4.172489e-04 -2.535749e-01 -2.535405e-01
2.212774e+00 -3.076755e-04 -2.360587e-01 -2.399706e-01
2.273262e+00 -2.298447e-04 -2.203501e-01 -2.276782e-01
2.330845e+00 -1.741976e-04 -2.063343e-01 -2.165963e-01
2.385251e+00 -1.341038e-04 -1.938882e-01 -2.066522e-01
2.436259e+00 -1.049698e-04 -1.828861e-01 -1.977706e-01
2.483700e+00 -8.360797e-05 -1.732035e-01 -1.898753e-01
2.527458e+00 -6.779815e-05 -1.647203e-01 -1.828910e-01
2.567472e+00 -5.598575e-05 -1.573224e-01 -1.767446e-01
2.603732e+00 -4.707669e-05 -1.509026e-01 -1.713653e-01
2.636282e+00 -4.029727e-05 -1.453613e-01 -1.666857e-01
2.665208e+00 -3.509741e-05 -1.406066e-01 -1.626417e-01
2.690643e+00 -3.108316e-05 -1.365537e-01 -1.591726e-01
2.712755e+00 -2.796936e-05 -1.331248e-01 -1.562210e-01
2.731747e+00 -2.554692e-05 -1.302483e-01 -1.537327e-01
2.747846e+00 -2.366033e-05 -1.278586e-01 -1.516566e-01
2.761300e+00 -2.219247e-05 -1.258951e-01 -1.499448e-01
