376 5
 0 0 0 1 1
 2 2 2 6 5
 -1.002866e+02 -9.125222e+00 -7.064384e-01 -6.976378e+00 -2.745678e-01
2.527458e+00 -5.644352e-09 -2.474566e-04 -1.517470e-01 -4.985074e-04 -1.965422e-01
2.567472e+00  3.216007e-09 -2.059121e-04 -1.436635e-01 -4.233213e-04 -1.889039e-01
2.603732e+00  9.252864e-09 -1.743438e-04 -1.367010e-01 -3.650828e-04 -1.822353e-01
2.636282e+00  9.261573e-09 -1.501624e-04 -1.307323e-01 -3.196973e-04 -1.764482e-01
2.665208e+00  4.192212e-09 -1.315072e-04 -1.256425e-01 -2.841433e-04 -1.714586e-01
2.690643e+00 -2.465839e-09 -1.170314e-04 -1.213278e-01 -2.561781e-04 -1.671877e-01
2.712755e+00 -7.249464e-09 -1.057510e-04 -1.176952e-01 -2.341234e-04 -1.635610e-01
2.731747e+00 -8.447853e-09 -9.693913e-05 -1.146607e-01 -2.167122e-04 -1.605090e-01
2.747846e+00 -6.355787e-09 -9.005158e-05 -1.121489e-01 -2.029782e-04 -1.579667e-01
2.761300e+00 -2.480954e-09 -8.467624e-05 -1.100914e-01 -1.921760e-04 -1.558731e-01
2.772369e+00  1.494174e-09 -8.049723e-05 -1.084265e-01 -1.837239e-04 -1.541715e-01
2.781321e+00  4.415190e-09 -7.726957e-05 -1.070982e-01 -1.771626e-04 -1.528090e-01
2.788424e+00  5.860213e-09 -7.480080e-05 -1.060558e-01 -1.721244e-04 -1.517366e-01
2.793940e+00  5.983574e-09 -7.293752e-05 -1.052531e-01 -1.683109e-04 -1.509090e-01
2.798121e+00  5.226330e-09 -7.155566e-05 -1.046488e-01 -1.654768e-04 -1.502848e-01
2.801202e+00  4.064249e-09 -7.055348e-05 -1.042056e-01 -1.634184e-04 -1.498264e-01
2.803400e+00  2.863480e-09 -6.984679e-05 -1.038905e-01 -1.619655e-04 -1.495002e-01
2.804909e+00  1.837979e-09 -6.936563e-05 -1.036748e-01 -1.609757e-04 -1.492767e-01
2.805897e+00  1.070052e-09 -6.905209e-05 -1.035337e-01 -1.603304e-04 -1.491305e-01
2.806509e+00  5.550073e-10 -6.885881e-05 -1.034466e-01 -1.599325e-04 -1.490401e-01
2.806861e+00  2.445849e-10 -6.874792e-05 -1.033965e-01 -1.597041e-04 -1.489882e-01
2.807044e+00  7.828442e-11 -6.869008e-05 -1.033703e-01 -1.595850e-04 -1.489611e-01
2.807128e+00  1.324469e-12 -6.866367e-05 -1.033584e-01 -1.595306e-04 -1.489487e-01
2.807159e+00 -2.770450e-11 -6.865376e-05 -1.033539e-01 -1.595102e-04 -1.489440e-01
2.807168e+00 -3.561609e-11 -6.865107e-05 -1.033527e-01 -1.595047e-04 -1.489428e-01
2.807169e+00 -3.678436e-11 -6.865067e-05 -1.033525e-01 -1.595039e-04 -1.489426e-01
2.807169e+00 -3.682209e-11 -6.865062e-05 -1.033525e-01 -1.595038e-04 -1.489426e-01
2.807174e+00 -3.682018e-11 -6.864923e-05 -1.033518e-01 -1.595009e-04 -1.489419e-01
2.807204e+00 -3.680725e-11 -6.863988e-05 -1.033476e-01 -1.594816e-04 -1.489375e-01
2.807313e+00 -3.675976e-11 -6.860549e-05 -1.033320e-01 -1.594106e-04 -1.489213e-01
2.807606e+00 -3.663341e-11 -6.851391e-05 -1.032903e-01 -1.592214e-04 -1.488781e-01
2.808246e+00 -3.635809e-11 -6.831391e-05 -1.031992e-01 -1.588082e-04 -1.487836e-01
2.809473e+00 -3.583540e-11 -6.793248e-05 -1.030250e-01 -1.580199e-04 -1.486028e-01
2.811606e+00 -3.494059e-11 -6.727411e-05 -1.027227e-01 -1.566581e-04 -1.482889e-01
2.815055e+00 -3.353176e-11 -6.622319e-05 -1.022357e-01 -1.544813e-04 -1.477828e-01
2.820318e+00 -3.146889e-11 -6.465060e-05 -1.014970e-01 -1.512173e-04 -1.470137e-01
2.827987e+00 -2.864480e-11 -6.242585e-05 -1.004301e-01 -1.465852e-04 -1.459004e-01
2.838736e+00 -2.502648e-11 -5.943509e-05 -9.895329e-02 -1.403305e-04 -1.443542e-01
2.853321e+00 -2.069968e-11 -5.560423e-05 -9.698381e-02 -1.322692e-04 -1.422827e-01
2.872564e+00 -1.590235e-11 -5.092411e-05 -9.444455e-02 -1.223389e-04 -1.395953e-01
2.897343e+00 -1.102638e-11 -4.547243e-05 -9.127163e-02 -1.106452e-04 -1.362104e-01
2.928573e+00 -6.567528e-12 -3.942500e-05 -8.742290e-02 -9.749098e-05 -1.320623e-01
2.967189e+00 -3.016952e-12 -3.304921e-05 -8.288622e-02 -8.337608e-05 -1.271099e-01
3.014123e+00 -7.140554e-13 -2.667562e-05 -7.768642e-02 -6.895471e-05 -1.213437e-01
3.070287e+00  2.869225e-13 -2.064995e-05 -7.188963e-02 -5.495360e-05 -1.147924e-01
3.136542e+00  2.661544e-13 -1.527571e-05 -6.560366e-02 -4.206370e-05 -1.075256e-01
3.213683e+00 -2.487012e-13 -1.076347e-05 -5.897358e-02 -3.083209e-05 -9.965394e-02
3.302415e+00 -6.950163e-13 -7.202571e-06 -5.217248e-02 -2.158410e-05 -9.132507e-02
3.403327e+00 -7.212256e-13 -4.563700e-06 -4.538800e-02 -1.439747e-05 -8.271500e-02
3.516879e+00 -3.287805e-13 -2.728693e-06 -3.880650e-02 -9.131949e-06 -7.401660e-02
3.643378e+00  1.870857e-13 -1.533579e-06 -3.259702e-02 -5.498479e-06 -6.542586e-02
3.782971e+00  4.722039e-13 -8.081651e-07 -2.689766e-02 -3.140876e-06 -5.712784e-02
3.935625e+00  3.704442e-13 -4.015611e-07 -2.180618e-02 -1.705375e-06 -4.928416e-02
4.101127e+00  2.089647e-14 -1.929749e-07 -1.737619e-02 -8.857229e-07 -4.202350e-02
4.279073e+00 -2.733622e-13 -9.369346e-08 -1.361871e-02 -4.442076e-07 -3.543612e-02
4.468875e+00 -2.948754e-13 -4.581555e-08 -1.050833e-02 -2.152291e-07 -2.957253e-02
4.669759e+00 -7.374699e-14 -1.881444e-08 -7.992159e-03 -9.730295e-08 -2.444608e-02
4.880776e+00  1.668425e-13 -2.310978e-09 -5.999888e-03 -3.718372e-08 -2.003835e-02
5.100813e+00  2.209093e-13  4.538746e-09 -4.453227e-03 -1.023419e-08 -1.630633e-02
5.328610e+00  7.271453e-14  2.738401e-09 -3.273710e-03 -3.221754e-09 -1.319010e-02
