376 6
 0 0 0 0 1 1
 2 2 2 2 6 6
 -1.438486e+02 -1.498114e+01 -1.655845e+00 -1.113595e-01 -1.221829e+01 -9.813918e-01
2.804909e+00 -7.307106e-10  3.662272e-06  3.911283e-02 -1.804116e-01 -8.676554e-06 -6.556803e-02
2.805897e+00 -4.152473e-10  3.640357e-06  3.903603e-02 -1.803937e-01 -8.631190e-06 -6.546442e-02
2.806509e+00 -2.041332e-10  3.626798e-06  3.898860e-02 -1.803826e-01 -8.603221e-06 -6.540042e-02
2.806861e+00 -7.704905e-11  3.618999e-06  3.896136e-02 -1.803762e-01 -8.587170e-06 -6.536364e-02
2.807044e+00 -9.011710e-12  3.614926e-06  3.894714e-02 -1.803728e-01 -8.578799e-06 -6.534445e-02
2.807128e+00  2.246428e-11  3.613065e-06  3.894064e-02 -1.803713e-01 -8.574976e-06 -6.533569e-02
2.807159e+00  3.433527e-11  3.612367e-06  3.893821e-02 -1.803707e-01 -8.573542e-06 -6.533240e-02
2.807168e+00  3.757045e-11  3.612177e-06  3.893755e-02 -1.803706e-01 -8.573152e-06 -6.533150e-02
2.807169e+00  3.804817e-11  3.612149e-06  3.893745e-02 -1.803705e-01 -8.573094e-06 -6.533137e-02
2.807169e+00  3.806356e-11  3.612145e-06  3.893743e-02 -1.803705e-01 -8.573086e-06 -6.533135e-02
2.807174e+00  3.806141e-11  3.612054e-06  3.893709e-02 -1.803705e-01 -8.572889e-06 -6.533089e-02
2.807204e+00  3.804689e-11  3.611437e-06  3.893478e-02 -1.803699e-01 -8.571551e-06 -6.532777e-02
2.807313e+00  3.799356e-11  3.609170e-06  3.892628e-02 -1.803679e-01 -8.566634e-06 -6.531630e-02
2.807606e+00  3.785166e-11  3.603133e-06  3.890364e-02 -1.803625e-01 -8.553541e-06 -6.528573e-02
2.808246e+00  3.754253e-11  3.589956e-06  3.885414e-02 -1.803508e-01 -8.524955e-06 -6.521889e-02
