376 7
 0 0 0 0 1 1 2
 2 2 2 2 6 6 3
2.383811e-01 -1.086937e+00 -7.818024e+00  2.439872e+00 -6.319427e-01 -7.644858e+00  1.804002e+00 -9.995016e-01
2.514418e-01 -8.197551e-01 -7.478957e+00  2.212101e+00 -5.685124e-01 -7.134861e+00  1.547653e+00 -1.037119e+00
2.657247e-01 -6.025140e-01 -7.078074e+00  1.952769e+00 -4.965766e-01 -6.602108e+00  1.279563e+00 -1.074423e+00
2.812096e-01 -4.318130e-01 -6.624839e+00  1.667220e+00 -4.176562e-01 -6.056286e+00  1.004662e+00 -1.110509e+00
2.978589e-01 -3.020473e-01 -6.131820e+00  1.362494e+00 -3.337446e-01 -5.507716e+00  7.283402e-01 -1.144482e+00
3.156174e-01 -2.064774e-01 -5.613489e+00  1.046753e+00 -2.471501e-01 -4.966657e+00  4.561069e-01 -1.175509e+00
3.344127e-01 -1.381695e-01 -5.084892e+00  7.286171e-01 -1.603100e-01 -4.442641e+00  1.932444e-01 -1.202866e+00
3.541562e-01 -9.068966e-02 -4.560403e+00  4.164873e-01 -7.560095e-02 -3.943919e+00 -5.550918e-02 -1.225979e+00
3.747436e-01 -5.851844e-02 -4.052709e+00  1.179517e-01  4.829265e-03 -3.477067e+00 -2.862148e-01 -1.244453e+00
3.960570e-01 -3.721366e-02 -3.572115e+00 -1.606682e-01  7.919254e-02 -3.046789e+00 -4.959010e-01 -1.258081e+00
4.179666e-01 -2.338706e-02 -3.126206e+00 -4.145966e-01  1.461426e-01 -2.655897e+00 -6.826394e-01 -1.266846e+00
4.403322e-01 -1.456884e-02 -2.719823e+00 -6.407046e-01  2.048073e-01 -2.305448e+00 -8.455299e-01 -1.270904e+00
4.630064e-01 -9.025848e-03 -2.355295e+00 -8.374543e-01  2.547755e-01 -1.994988e+00 -9.846110e-01 -1.270559e+00
4.858360e-01 -5.580156e-03 -2.032835e+00 -1.004723e+00  2.960495e-01 -1.722868e+00 -1.100717e+00 -1.266229e+00
5.086657e-01 -3.453470e-03 -1.751011e+00 -1.143551e+00  3.289742e-01 -1.486570e+00 -1.195306e+00 -1.258412e+00
5.313398e-01 -2.144997e-03 -1.507233e+00 -1.255859e+00  3.541551e-01 -1.283026e+00 -1.270277e+00 -1.247656e+00
5.537055e-01 -1.340280e-03 -1.298187e+00 -1.344162e+00  3.723766e-01 -1.108888e+00 -1.327802e+00 -1.234523e+00
5.756150e-01 -8.452927e-04 -1.120208e+00 -1.411316e+00  3.845256e-01 -9.607465e-01 -1.370176e+00 -1.219573e+00
5.969285e-01 -5.407782e-04 -9.695541e-01 -1.460302e+00  3.915276e-01 -8.352972e-01 -1.399693e+00 -1.203337e+00
