376 3
 0 0 1
 2 2 1
 -6.502185e+00 -3.053774e-01 -1.000419e-01
9.769157e+00 -3.440321e-12 -2.965324e-04 -2.532047e-03
9.769176e+00 -3.440133e-12 -2.965274e-04 -2.532020e-03
9.769305e+00 -3.438856e-12 -2.964938e-04 -2.531837e-03
9.769782e+00 -3.434166e-12 -2.963701e-04 -2.531166e-03
9.771053e+00 -3.421688e-12 -2.960407e-04 -2.529377e-03
9.773833e+00 -3.394502e-12 -2.953209e-04 -2.525467e-03
9.779159e+00 -3.342909e-12 -2.939474e-04 -2.517995e-03
9.788423e+00 -3.254640e-12 -2.915739e-04 -2.505053e-03
9.803397e+00 -3.115810e-12 -2.877775e-04 -2.484277e-03
9.826253e+00 -2.912867e-12 -2.820789e-04 -2.452908e-03
9.859551e+00 -2.635738e-12 -2.739798e-04 -2.407936e-03
9.906227e+00 -2.282001e-12 -2.630197e-04 -2.346323e-03
9.969557e+00 -1.861311e-12 -2.488516e-04 -2.265310e-03
1.005312e+01 -1.398591e-12 -2.313279e-04 -2.162808e-03
1.016071e+01 -9.338417e-13 -2.105819e-04 -2.037810e-03
1.029632e+01 -5.166220e-13 -1.870841e-04 -1.890786e-03
1.046400e+01 -1.946633e-13 -1.616497e-04 -1.723960e-03
1.066781e+01  1.077468e-15 -1.353800e-04 -1.541385e-03
1.091168e+01  6.935005e-14 -1.095357e-04 -1.348757e-03
1.119938e+01  4.235980e-14 -8.536031e-05 -1.152937e-03
1.153435e+01 -2.451514e-14 -6.389506e-05 -9.612454e-04
1.191965e+01 -7.516112e-14 -4.583102e-05 -7.806304e-04
1.235784e+01 -7.726949e-14 -3.143971e-05 -6.168818e-04
1.285091e+01 -3.503575e-14 -2.059494e-05 -4.740439e-04
1.340020e+01  1.885729e-14 -1.286977e-05 -3.541383e-04
1.400635e+01  4.801458e-14 -7.670160e-06 -2.572237e-04
1.466922e+01  3.764981e-14 -4.363967e-06 -1.817397e-04
1.538787e+01  2.742748e-15 -2.376466e-06 -1.250191e-04
1.616056e+01 -2.635610e-14 -1.243269e-06 -8.383881e-05
1.698474e+01 -2.875750e-14 -6.258922e-07 -5.489985e-05
1.785703e+01 -8.017380e-15 -3.012299e-07 -3.517375e-05
1.877332e+01  1.419482e-14 -1.361764e-07 -2.209950e-05
1.972878e+01  1.865932e-14 -5.733460e-08 -1.365105e-05
2.071794e+01  4.545971e-15 -2.445884e-08 -8.313147e-06
2.173476e+01 -1.259485e-14 -1.341186e-08 -5.005800e-06
2.277275e+01 -1.698278e-14 -9.216441e-09 -2.990180e-06
2.382505e+01 -6.779116e-15 -4.798795e-09 -1.778091e-06
2.488458e+01  6.262288e-15  2.039278e-10 -1.056291e-06
2.594410e+01  9.458728e-15  3.056940e-09 -6.289025e-07
2.699641e+01  9.659118e-16  2.225359e-09 -3.762838e-07
2.803440e+01 -9.972337e-15 -7.659765e-10 -2.268364e-07
2.905122e+01 -1.288254e-14 -2.848971e-09 -1.382819e-07
3.004038e+01 -5.639743e-15 -2.241829e-09 -8.569258e-08
3.099584e+01  4.747755e-15  2.278682e-10 -5.425018e-08
3.191213e+01  9.441713e-15  2.250650e-09 -3.511917e-08
3.278442e+01  5.508955e-15  2.215066e-09 -2.313885e-08
3.360859e+01 -2.528590e-15  4.082943e-10 -1.542819e-08
3.438128e+01 -7.468392e-15 -1.544720e-09 -1.043038e-08
3.509994e+01 -5.468865e-15 -2.171656e-09 -7.251599e-09
3.576280e+01  1.595214e-15 -1.206022e-09 -5.277900e-09
3.636895e+01  8.429031e-15  4.748885e-10 -4.029954e-09
3.691825e+01  1.054079e-14  1.691441e-09 -3.155361e-09
3.741132e+01  7.006210e-15  1.786331e-09 -2.448500e-09
3.784951e+01  3.323531e-16  8.928258e-10 -1.835302e-09
3.823481e+01 -5.692908e-15 -3.497846e-10 -1.320610e-09
3.856978e+01 -8.295817e-15 -1.280993e-09 -9.287582e-10
