376 5
 0 0 0 1 1
 2 2 2 6 4
 -8.770908e+01 -7.638741e+00 -5.856274e-01 -5.689399e+00 -2.188755e-01
6.560547e-01 -7.099436e-03 -1.545872e+00 -1.619872e-01 -1.374511e+00 -1.668312e-01
6.738132e-01 -5.509400e-03 -1.441758e+00 -2.115344e-01 -1.285166e+00 -1.999034e-01
6.904625e-01 -4.344836e-03 -1.349840e+00 -2.549649e-01 -1.206499e+00 -2.288995e-01
7.059474e-01 -3.484672e-03 -1.269106e+00 -2.928118e-01 -1.137526e+00 -2.541962e-01
7.202302e-01 -2.843768e-03 -1.198547e+00 -3.256122e-01 -1.077309e+00 -2.761595e-01
7.332910e-01 -2.361959e-03 -1.137184e+00 -3.538889e-01 -1.024967e+00 -2.951374e-01
7.451267e-01 -1.996532e-03 -1.084087e+00 -3.781386e-01 -9.796827e-01 -3.114555e-01
7.557510e-01 -1.717044e-03 -1.038390e+00 -3.988243e-01 -9.407030e-01 -3.254145e-01
7.651927e-01 -1.501698e-03 -9.992902e-01 -4.163710e-01 -9.073395e-01 -3.372893e-01
7.734947e-01 -1.334786e-03 -9.660504e-01 -4.311650e-01 -8.789640e-01 -3.473295e-01
7.807123e-01 -1.204865e-03 -9.379971e-01 -4.435544e-01 -8.550042e-01 -3.557607e-01
7.869114e-01 -1.103492e-03 -9.145157e-01 -4.538516e-01 -8.349390e-01 -3.627856e-01
7.921662e-01 -1.024348e-03 -8.950457e-01 -4.623358e-01 -8.182936e-01 -3.685869e-01
7.965576e-01 -9.626421e-04 -8.790755e-01 -4.692562e-01 -8.046341e-01 -3.733284e-01
8.001706e-01 -9.147063e-04 -8.661381e-01 -4.748357e-01 -7.935643e-01 -3.771578e-01
8.030926e-01 -8.777001e-04 -8.558070e-01 -4.792733e-01 -7.847216e-01 -3.802080e-01
8.054110e-01 -8.493995e-04 -8.476932e-01 -4.827470e-01 -7.777747e-01 -3.825985e-01
8.072115e-01 -8.280385e-04 -8.414424e-01 -4.854161e-01 -7.724217e-01 -3.844371e-01
8.085761e-01 -8.121933e-04 -8.367340e-01 -4.874225e-01 -7.683888e-01 -3.858202e-01
8.095818e-01 -8.006987e-04 -8.332798e-01 -4.888921e-01 -7.654298e-01 -3.868339e-01
8.102992e-01 -7.925912e-04 -8.308239e-01 -4.899358e-01 -7.633257e-01 -3.875541e-01
8.107917e-01 -7.870697e-04 -8.291421e-01 -4.906500e-01 -7.618848e-01 -3.880470e-01
8.111144e-01 -7.834712e-04 -8.280420e-01 -4.911169e-01 -7.609422e-01 -3.883694e-01
8.113140e-01 -7.812526e-04 -8.273622e-01 -4.914053e-01 -7.603596e-01 -3.885685e-01
8.114287e-01 -7.799796e-04 -8.269716e-01 -4.915710e-01 -7.600249e-01 -3.886829e-01
8.114887e-01 -7.793157e-04 -8.267677e-01 -4.916574e-01 -7.598502e-01 -3.887426e-01
8.115160e-01 -7.790125e-04 -8.266746e-01 -4.916969e-01 -7.597704e-01 -3.887699e-01
8.115263e-01 -7.788987e-04 -8.266396e-01 -4.917118e-01 -7.597405e-01 -3.887801e-01
8.115291e-01 -7.788678e-04 -8.266301e-01 -4.917158e-01 -7.597323e-01 -3.887829e-01
8.115295e-01 -7.788632e-04 -8.266287e-01 -4.917164e-01 -7.597311e-01 -3.887833e-01
8.115296e-01 -7.788626e-04 -8.266285e-01 -4.917165e-01 -7.597310e-01 -3.887834e-01
8.115308e-01 -7.788487e-04 -8.266242e-01 -4.917183e-01 -7.597273e-01 -3.887846e-01
8.115394e-01 -7.787545e-04 -8.265951e-01 -4.917306e-01 -7.597023e-01 -3.887932e-01
8.115709e-01 -7.784081e-04 -8.264881e-01 -4.917760e-01 -7.596106e-01 -3.888245e-01
