376 6
 0 0 0 0 1 1
 2 2 2 1 6 6
 -1.283309e+02 -1.277542e+01 -1.233137e+00 -6.446058e-02 -1.021911e+01 -6.466367e-01
6.738132e-01  1.061926e-03  1.037818e+00  8.177762e-01 -1.924266e-01 -9.195481e-01 -7.469141e-01
6.904625e-01  7.989925e-04  9.513934e-01  8.537630e-01 -1.991711e-01 -8.463204e-01 -7.719222e-01
7.059474e-01  6.134365e-04  8.771928e-01  8.831787e-01 -2.044547e-01 -7.833686e-01 -7.924012e-01
7.202302e-01  4.811350e-04  8.136797e-01  9.070563e-01 -2.085334e-01 -7.293991e-01 -8.090642e-01
7.332910e-01  3.856566e-04  7.594796e-01  9.263141e-01 -2.116334e-01 -6.832628e-01 -8.225417e-01
7.451267e-01  3.157416e-04  7.133758e-01  9.417547e-01 -2.139508e-01 -6.439468e-01 -8.333825e-01
7.557510e-01  2.637455e-04  6.742990e-01  9.540680e-01 -2.156525e-01 -6.105626e-01 -8.420584e-01
7.651927e-01  2.245586e-04  6.413141e-01  9.638392e-01 -2.168780e-01 -5.823334e-01 -8.489691e-01
7.734947e-01  1.947785e-04  6.136055e-01  9.715581e-01 -2.177419e-01 -5.585807e-01 -8.544498e-01
7.807123e-01  1.720799e-04  5.904621e-01  9.776298e-01 -2.183365e-01 -5.387114e-01 -8.587782e-01
7.869114e-01  1.547866e-04  5.712631e-01  9.823859e-01 -2.187348e-01 -5.222059e-01 -8.621822e-01
7.921662e-01  1.416243e-04  5.554645e-01  9.860950e-01 -2.189935e-01 -5.086075e-01 -8.648472e-01
7.965576e-01  1.316005e-04  5.425884e-01  9.889734e-01 -2.191554e-01 -4.975132e-01 -8.669228e-01
8.001706e-01  1.239501e-04  5.322127e-01  9.911936e-01 -2.192524e-01 -4.885654e-01 -8.685291e-01
8.030926e-01  1.180997e-04  5.239629e-01  9.928931e-01 -2.193073e-01 -4.814457e-01 -8.697625e-01
8.054110e-01  1.136304e-04  5.175059e-01  9.941813e-01 -2.193361e-01 -4.758701e-01 -8.706998e-01
8.072115e-01  1.102385e-04  5.125451e-01  9.951454e-01 -2.193496e-01 -4.715843e-01 -8.714028e-01
8.085761e-01  1.076992e-04  5.088161e-01  9.958551e-01 -2.193547e-01 -4.683615e-01 -8.719212e-01
8.095818e-01  1.058378e-04  5.060847e-01  9.963667e-01 -2.193556e-01 -4.660003e-01 -8.722954e-01
8.102992e-01  1.045120e-04  5.041449e-01  9.967257e-01 -2.193548e-01 -4.643231e-01 -8.725582e-01
8.107917e-01  1.036019e-04  5.028176e-01  9.969693e-01 -2.193535e-01 -4.631753e-01 -8.727367e-01
8.111144e-01  1.030052e-04  5.019499e-01  9.971276e-01 -2.193524e-01 -4.624248e-01 -8.728528e-01
8.113140e-01  1.026358e-04  5.014138e-01  9.972250e-01 -2.193516e-01 -4.619611e-01 -8.729243e-01
8.114287e-01  1.024233e-04  5.011059e-01  9.972809e-01 -2.193511e-01 -4.616948e-01 -8.729652e-01
8.114887e-01  1.023123e-04  5.009451e-01  9.973100e-01 -2.193508e-01 -4.615558e-01 -8.729866e-01
8.115160e-01  1.022616e-04  5.008717e-01  9.973233e-01 -2.193507e-01 -4.614923e-01 -8.729963e-01
8.115263e-01  1.022426e-04  5.008442e-01  9.973283e-01 -2.193506e-01 -4.614684e-01 -8.730000e-01
8.115291e-01  1.022374e-04  5.008367e-01  9.973296e-01 -2.193506e-01 -4.614620e-01 -8.730010e-01
8.115295e-01  1.022367e-04  5.008356e-01  9.973298e-01 -2.193506e-01 -4.614610e-01 -8.730011e-01
8.115296e-01  1.022366e-04  5.008354e-01  9.973299e-01 -2.193506e-01 -4.614609e-01 -8.730012e-01
8.115308e-01  1.022344e-04  5.008321e-01  9.973305e-01 -2.193506e-01 -4.614579e-01 -8.730016e-01
8.115394e-01  1.022196e-04  5.008091e-01  9.973346e-01 -2.193506e-01 -4.614381e-01 -8.730047e-01
8.115709e-01  1.021653e-04  5.007247e-01  9.973499e-01 -2.193504e-01 -4.613651e-01 -8.730158e-01
8.116547e-01  1.020206e-04  5.004999e-01  9.973905e-01 -2.193500e-01 -4.611707e-01 -8.730457e-01
8.118383e-01  1.017048e-04  5.000083e-01  9.974792e-01 -2.193490e-01 -4.607454e-01 -8.731107e-01
8.121899e-01  1.011025e-04  4.990680e-01  9.976482e-01 -2.193469e-01 -4.599319e-01 -8.732348e-01
8.128014e-01  1.000635e-04  4.974366e-01  9.979393e-01 -2.193426e-01 -4.585206e-01 -8.734486e-01
8.137899e-01  9.840610e-05  4.948103e-01  9.984024e-01 -2.193338e-01 -4.562480e-01 -8.737892e-01
8.152987e-01  9.592876e-05  4.908279e-01  9.990916e-01 -2.193160e-01 -4.528009e-01 -8.742968e-01
8.174968e-01  9.242988e-05  4.850820e-01  1.000058e+00 -2.192807e-01 -4.478252e-01 -8.750102e-01
8.205780e-01  8.773750e-05  4.771380e-01  1.001337e+00 -2.192130e-01 -4.409417e-01 -8.759587e-01
8.247587e-01  8.174684e-05  4.665621e-01  1.002935e+00 -2.190873e-01 -4.317696e-01 -8.771510e-01
8.302747e-01  7.446069e-05  4.529579e-01  1.004805e+00 -2.188633e-01 -4.199571e-01 -8.785606e-01
8.373776e-01  6.602309e-05  4.360099e-01  1.006827e+00 -2.184800e-01 -4.052181e-01 -8.801088e-01
8.463297e-01  5.673432e-05  4.155311e-01  1.008776e+00 -2.178505e-01 -3.873718e-01 -8.816470e-01
8.573988e-01  4.703523e-05  3.915080e-01  1.010304e+00 -2.168563e-01 -3.663819e-01 -8.829393e-01
8.708525e-01  3.745550e-05  3.641376e-01  1.010925e+00 -2.153454e-01 -3.423877e-01 -8.836512e-01
8.869516e-01  2.853133e-05  3.338462e-01  1.010006e+00 -2.131316e-01 -3.157228e-01 -8.833457e-01
9.059434e-01  2.071168e-05  3.012854e-01  1.006792e+00 -2.100005e-01 -2.869135e-01 -8.814930e-01
9.280559e-01  1.428107e-05  2.672993e-01  1.000440e+00 -2.057201e-01 -2.566556e-01 -8.774937e-01
9.534907e-01  9.324470e-06  2.328641e-01  9.900838e-01 -2.000575e-01 -2.257675e-01 -8.707186e-01
9.824170e-01  5.745121e-06  1.990052e-01  9.749122e-01 -1.928005e-01 -1.951246e-01 -8.605612e-01
1.014966e+00  3.324071e-06  1.667048e-01  9.542622e-01 -1.837818e-01 -1.655839e-01 -8.464979e-01
1.051227e+00  1.793920e-06  1.368119e-01  9.277055e-01 -1.729022e-01 -1.379095e-01 -8.281487e-01
1.091241e+00  8.980061e-07  1.099718e-01  8.951189e-01 -1.601501e-01 -1.127105e-01 -8.053284e-01
1.134999e+00  4.208940e-07  8.658398e-02  8.567243e-01 -1.456124e-01 -9.040012e-02 -7.780803e-01
1.182440e+00  1.950599e-07  6.679530e-02  8.130887e-01 -1.294750e-01 -7.118216e-02 -7.466858e-01
