376 5
 0 0 0 1 1
 2 2 2 6 1
 -5.508056e+01 -3.877979e+00 -2.513400e-01 -2.507294e+00 -7.177563e-02
8.115709e-01 -5.515589e-03 -1.166855e+00 -7.483815e-03 -1.064231e+00  6.789588e-03
8.116547e-01 -5.510319e-03 -1.166572e+00 -7.596026e-03 -1.063991e+00  6.724538e-03
8.118383e-01 -5.498804e-03 -1.165953e+00 -7.841524e-03 -1.063465e+00  6.582220e-03
8.121899e-01 -5.476816e-03 -1.164767e+00 -8.311401e-03 -1.062459e+00  6.309820e-03
8.128014e-01 -5.438784e-03 -1.162708e+00 -9.127644e-03 -1.060712e+00  5.836606e-03
8.137899e-01 -5.377861e-03 -1.159387e+00 -1.044455e-02 -1.057893e+00  5.073082e-03
8.152987e-01 -5.286196e-03 -1.154333e+00 -1.244823e-02 -1.053605e+00  3.911259e-03
8.174968e-01 -5.155456e-03 -1.147004e+00 -1.535372e-02 -1.047388e+00  2.226247e-03
8.205780e-01 -4.977643e-03 -1.136801e+00 -1.939940e-02 -1.038734e+00 -1.205970e-04
8.247587e-01 -4.746197e-03 -1.123084e+00 -2.483831e-02 -1.027105e+00 -3.276802e-03
8.302747e-01 -4.457293e-03 -1.105211e+00 -3.192604e-02 -1.011958e+00 -7.392098e-03
8.373776e-01 -4.111156e-03 -1.082567e+00 -4.090549e-02 -9.927770e-01 -1.260997e-02
8.463297e-01 -3.713121e-03 -1.054619e+00 -5.198840e-02 -9.691132e-01 -1.905772e-02
8.573988e-01 -3.274087e-03 -1.020957e+00 -6.533489e-02 -9.406235e-01 -2.683548e-02
8.708525e-01 -2.810096e-03 -9.813523e-01 -8.103182e-02 -9.071118e-01 -3.600497e-02
8.869516e-01 -2.340871e-03 -9.358011e-01 -9.907224e-02 -8.685660e-01 -4.657902e-02
9.059434e-01 -1.887473e-03 -8.845631e-01 -1.193379e-01 -8.251846e-01 -5.851292e-02
9.280559e-01 -1.469463e-03 -8.281823e-01 -1.415877e-01 -7.773911e-01 -7.169897e-02
9.534907e-01 -1.102239e-03 -7.674856e-01 -1.654547e-01 -7.258299e-01 -8.596517e-02
9.824170e-01 -7.951680e-04 -7.035545e-01 -1.904532e-01 -6.713433e-01 -1.010789e-01
1.014966e+00 -5.509614e-04 -6.376696e-01 -2.159983e-01 -6.149293e-01 -1.167559e-01
