376 5
 0 0 0 1 1
 2 2 2 6 3
 -7.598288e+01 -6.269749e+00 -4.700705e-01 -4.516571e+00 -1.666750e-01
2.807128e+00  2.949062e-11 -4.373331e-04 -1.560729e-01 -9.951247e-04 -1.892409e-01
2.807159e+00 -9.471536e-12 -4.372806e-04 -1.560676e-01 -9.950211e-04 -1.892365e-01
2.807168e+00 -2.009067e-11 -4.372663e-04 -1.560661e-01 -9.949930e-04 -1.892353e-01
2.807169e+00 -2.165877e-11 -4.372642e-04 -1.560659e-01 -9.949888e-04 -1.892352e-01
2.807169e+00 -2.170945e-11 -4.372639e-04 -1.560659e-01 -9.949882e-04 -1.892351e-01
2.807174e+00 -2.170841e-11 -4.372565e-04 -1.560651e-01 -9.949737e-04 -1.892345e-01
2.807204e+00 -2.170136e-11 -4.372067e-04 -1.560601e-01 -9.948754e-04 -1.892303e-01
2.807313e+00 -2.167546e-11 -4.370236e-04 -1.560416e-01 -9.945143e-04 -1.892150e-01
2.807606e+00 -2.160656e-11 -4.365359e-04 -1.559923e-01 -9.935521e-04 -1.891740e-01
2.808246e+00 -2.145638e-11 -4.354703e-04 -1.558845e-01 -9.914497e-04 -1.890845e-01
2.809473e+00 -2.117115e-11 -4.334368e-04 -1.556781e-01 -9.874355e-04 -1.889131e-01
2.811606e+00 -2.068254e-11 -4.299226e-04 -1.553199e-01 -9.804927e-04 -1.886153e-01
2.815055e+00 -1.991235e-11 -4.243017e-04 -1.547423e-01 -9.693726e-04 -1.881348e-01
2.820318e+00 -1.878254e-11 -4.158642e-04 -1.538647e-01 -9.526444e-04 -1.874036e-01
2.827987e+00 -1.723144e-11 -4.038718e-04 -1.525944e-01 -9.287919e-04 -1.863429e-01
2.838736e+00 -1.523564e-11 -3.876423e-04 -1.508303e-01 -8.963645e-04 -1.848651e-01
2.853321e+00 -1.283396e-11 -3.666615e-04 -1.484672e-01 -8.541795e-04 -1.828770e-01
2.872564e+00 -1.014600e-11 -3.407103e-04 -1.454024e-01 -8.015605e-04 -1.802835e-01
2.897343e+00 -7.374775e-12 -3.099870e-04 -1.415435e-01 -7.385779e-04 -1.769935e-01
2.928573e+00 -4.782918e-12 -2.751907e-04 -1.368175e-01 -6.662394e-04 -1.729255e-01
2.967189e+00 -2.638165e-12 -2.375341e-04 -1.311803e-01 -5.865694e-04 -1.680151e-01
3.014123e+00 -1.137563e-12 -1.986566e-04 -1.246260e-01 -5.025232e-04 -1.622219e-01
3.070287e+00 -3.361875e-13 -1.604354e-04 -1.171939e-01 -4.177127e-04 -1.555366e-01
3.136542e+00 -1.161784e-13 -1.247223e-04 -1.089731e-01 -3.359697e-04 -1.479862e-01
3.213683e+00 -2.238146e-13 -9.306492e-05 -1.001024e-01 -2.608252e-04 -1.396376e-01
3.302415e+00 -3.719237e-13 -6.648509e-05 -9.076475e-02 -1.950259e-04 -1.305976e-01
3.403327e+00 -3.640836e-13 -4.537514e-05 -8.117659e-02 -1.402038e-04 -1.210101e-01
3.516879e+00 -1.726058e-13 -2.953232e-05 -7.157295e-02 -9.677739e-05 -1.110489e-01
3.643378e+00  8.042250e-14 -1.830671e-05 -6.218927e-02 -6.408744e-05 -1.009076e-01
3.782971e+00  2.310884e-13 -1.080336e-05 -5.324316e-02 -4.070526e-05 -9.078721e-02
3.935625e+00  1.990103e-13 -6.075529e-06 -4.491825e-02 -2.480867e-05 -8.088335e-02
