376 4
 0 0 0 1
 2 2 1 6
 -3.764758e+01 -2.007738e+00 -7.701624e-02 -1.006029e+00
0.000000e+00 -6.995724e+01  1.717953e+01 -3.021761e+00  1.079528e-10
6.904625e-01 -6.192352e-02 -1.642720e+00  2.217353e-01 -1.466513e+00
7.059474e-01 -5.329321e-02 -1.594788e+00  2.097940e-01 -1.422266e+00
7.202302e-01 -4.641180e-02 -1.551058e+00  1.988887e-01 -1.382537e+00
7.332910e-01 -4.090615e-02 -1.511549e+00  1.890236e-01 -1.347110e+00
7.451267e-01 -3.648765e-02 -1.476187e+00  1.801821e-01 -1.315742e+00
7.557510e-01 -3.293266e-02 -1.444832e+00  1.723317e-01 -1.288175e+00
7.651927e-01 -3.006742e-02 -1.417295e+00  1.654274e-01 -1.264140e+00
7.734947e-01 -2.775635e-02 -1.393346e+00  1.594153e-01 -1.243362e+00
7.807123e-01 -2.589314e-02 -1.372734e+00  1.542347e-01 -1.225567e+00
7.869114e-01 -2.439385e-02 -1.355190e+00  1.498203e-01 -1.210481e+00
7.921662e-01 -2.319168e-02 -1.340435e+00  1.461043e-01 -1.197834e+00
7.965576e-01 -2.223298e-02 -1.328188e+00  1.430174e-01 -1.187364e+00
8.001706e-01 -2.147424e-02 -1.318169e+00  1.404905e-01 -1.178818e+00
8.030926e-01 -2.087974e-02 -1.310104e+00  1.384553e-01 -1.171950e+00
8.054110e-01 -2.041987e-02 -1.303730e+00  1.368460e-01 -1.166529e+00
8.072115e-01 -2.006980e-02 -1.298796e+00  1.355996e-01 -1.162336e+00
8.085761e-01 -1.980850e-02 -1.295064e+00  1.346569e-01 -1.159168e+00
8.095818e-01 -1.961812e-02 -1.292319e+00  1.339632e-01 -1.156838e+00
8.102992e-01 -1.948343e-02 -1.290363e+00  1.334689e-01 -1.155179e+00
8.107917e-01 -1.939152e-02 -1.289022e+00  1.331298e-01 -1.154042e+00
8.111144e-01 -1.933153e-02 -1.288144e+00  1.329078e-01 -1.153297e+00
8.113140e-01 -1.929452e-02 -1.287601e+00  1.327706e-01 -1.152837e+00
8.114287e-01 -1.927327e-02 -1.287288e+00  1.326916e-01 -1.152572e+00
8.114887e-01 -1.926219e-02 -1.287125e+00  1.326504e-01 -1.152434e+00
8.115160e-01 -1.925713e-02 -1.287051e+00  1.326316e-01 -1.152371e+00
8.115263e-01 -1.925523e-02 -1.287023e+00  1.326246e-01 -1.152347e+00
8.115291e-01 -1.925471e-02 -1.287015e+00  1.326226e-01 -1.152341e+00
8.115295e-01 -1.925463e-02 -1.287014e+00  1.326224e-01 -1.152340e+00
8.115296e-01 -1.925462e-02 -1.287014e+00  1.326223e-01 -1.152340e+00
