376 3
 0 0 1
 2 2 4
 -1.869082e+01 -8.205996e-01 -2.895125e-01
2.897343e+00 -1.121088e-07 -5.027199e-02 -8.370819e-02
2.928573e+00 -9.155591e-08 -4.791496e-02 -8.090238e-02
2.967189e+00 -7.122573e-08 -4.515553e-02 -7.757160e-02
3.014123e+00 -5.248602e-08 -4.201857e-02 -7.371971e-02
3.070287e+00 -3.647872e-08 -3.855494e-02 -6.937736e-02
3.136542e+00 -2.386619e-08 -3.484049e-02 -6.460315e-02
3.213683e+00 -1.471183e-08 -3.097174e-02 -5.948204e-02
3.302415e+00 -8.555376e-09 -2.705864e-02 -5.412092e-02
3.403327e+00 -4.654203e-09 -2.321513e-02 -4.864158e-02
3.516879e+00 -2.273435e-09 -1.954894e-02 -4.317192e-02
3.643378e+00 -8.813318e-10 -1.615215e-02 -3.783652e-02
3.782971e+00 -1.711338e-10 -1.309406e-02 -3.274777e-02
3.935625e+00  5.048879e-11 -1.041727e-02 -2.799868e-02
4.101127e+00 -1.697079e-11 -8.137459e-03 -2.365824e-02
4.279073e+00 -1.479443e-10 -6.246220e-03 -1.976953e-02
4.468875e+00 -1.725068e-10 -4.716209e-03 -1.635046e-02
4.669759e+00 -6.207778e-11 -3.507353e-03 -1.339679e-02
4.880776e+00  8.062460e-11 -2.573003e-03 -1.088638e-02
5.100813e+00  1.314106e-10 -1.865219e-03 -8.784251e-03
5.328610e+00  5.914653e-11 -1.338691e-03 -7.047474e-03
5.562778e+00 -5.524499e-11 -9.532155e-04 -5.629528e-03
5.801821e+00 -1.035512e-10 -6.748605e-04 -4.483805e-03
6.044160e+00 -5.104760e-11 -4.761444e-04 -3.566143e-03
6.288163e+00  4.116423e-11 -3.355627e-04 -2.836440e-03
6.532165e+00  8.394867e-11 -2.367703e-04 -2.259498e-03
6.774505e+00  4.471924e-11 -1.676453e-04 -1.805262e-03
7.013547e+00 -3.075885e-11 -1.193804e-04 -1.448645e-03
7.247715e+00 -7.028280e-11 -8.568149e-05 -1.169092e-03
7.475513e+00 -4.306050e-11 -6.210702e-05 -9.500193e-04
7.695550e+00  1.935826e-11 -4.555200e-05 -7.782130e-04
7.906566e+00  5.951972e-11 -3.386084e-05 -6.432474e-04
8.107450e+00  4.638595e-11 -2.554527e-05 -5.369618e-04
8.297252e+00 -3.434411e-12 -1.958173e-05 -4.530063e-04
8.475199e+00 -4.679566e-11 -1.526704e-05 -3.864605e-04
8.640700e+00 -5.176564e-11 -1.211673e-05 -3.335205e-04
8.793354e+00 -1.918401e-11 -9.794784e-06 -2.912494e-04
8.932947e+00  2.421980e-11 -8.066419e-06 -2.573787e-04
9.059447e+00  4.910778e-11 -6.766745e-06 -2.301542e-04
9.172998e+00  4.285592e-11 -5.779760e-06 -2.082168e-04
9.273910e+00  1.332456e-11 -5.023754e-06 -1.905096e-04
9.362642e+00 -2.064932e-11 -4.440838e-06 -1.762076e-04
9.439784e+00 -4.216603e-11 -3.989427e-06 -1.646626e-04
9.506039e+00 -4.411953e-11 -3.639044e-06 -1.553622e-04
9.562202e+00 -2.954786e-11 -3.366895e-06 -1.478975e-04
9.609136e+00 -7.076635e-12 -3.155679e-06 -1.419397e-04
9.647752e+00  1.444106e-11 -2.992170e-06 -1.372210e-04
9.678982e+00  2.931451e-11 -2.866214e-06 -1.335217e-04
9.703762e+00  3.580304e-11 -2.769969e-06 -1.306586e-04
9.723005e+00  3.512174e-11 -2.697309e-06 -1.284782e-04
9.737589e+00  2.985849e-11 -2.643366e-06 -1.268502e-04
9.748339e+00  2.265682e-11 -2.604190e-06 -1.256638e-04
9.756007e+00  1.549156e-11 -2.576526e-06 -1.248243e-04
9.761270e+00  9.481300e-12 -2.557668e-06 -1.242513e-04
9.764719e+00  5.024252e-12 -2.545368e-06 -1.238773e-04
9.766852e+00  2.051307e-12 -2.537781e-06 -1.236466e-04
9.768079e+00  2.649745e-13 -2.533427e-06 -1.235141e-04
9.768719e+00 -6.904400e-13 -2.531155e-06 -1.234450e-04
9.769012e+00 -1.132230e-12 -2.530117e-06 -1.234134e-04
9.769122e+00 -1.298814e-12 -2.529728e-06 -1.234016e-04
9.769151e+00 -1.344210e-12 -2.529623e-06 -1.233984e-04
9.769156e+00 -1.350913e-12 -2.529607e-06 -1.233979e-04
9.769157e+00 -1.351127e-12 -2.529604e-06 -1.233978e-04
9.769176e+00 -1.351039e-12 -2.529538e-06 -1.233957e-04
9.769305e+00 -1.350446e-12 -2.529088e-06 -1.233818e-04
9.769782e+00 -1.348268e-12 -2.527436e-06 -1.233304e-04
9.771053e+00 -1.342474e-12 -2.523038e-06 -1.231936e-04
9.773833e+00 -1.329857e-12 -2.513437e-06 -1.228947e-04
9.779159e+00 -1.305930e-12 -2.495149e-06 -1.223244e-04
9.788423e+00 -1.265053e-12 -2.463651e-06 -1.213388e-04
9.803397e+00 -1.200915e-12 -2.413550e-06 -1.197625e-04
9.826253e+00 -1.107521e-12 -2.338996e-06 -1.173964e-04
9.859551e+00 -9.807512e-13 -2.234396e-06 -1.140339e-04
9.906227e+00 -8.204099e-13 -2.095444e-06 -1.094839e-04
9.969557e+00 -6.323442e-13 -1.920380e-06 -1.036029e-04
1.005312e+01 -4.298422e-13 -1.711238e-06 -9.632999e-05
1.016071e+01 -2.332255e-13 -1.474721e-06 -8.772090e-05
1.029632e+01 -6.667013e-14 -1.222250e-06 -7.797110e-05
1.046400e+01  4.790324e-14 -9.688153e-07 -6.741851e-05
1.066781e+01  9.849692e-14 -7.306054e-07 -5.651890e-05
1.091168e+01  8.919998e-14 -5.218758e-07 -4.579308e-05
1.119938e+01  4.107750e-14 -3.519984e-07 -3.575417e-05
1.153435e+01 -1.451751e-14 -2.238024e-07 -2.683123e-05
1.191965e+01 -4.871387e-14 -1.339148e-07 -1.930927e-05
1.235784e+01 -4.809291e-14 -7.494139e-08 -1.330135e-05
1.285091e+01 -2.020613e-14 -3.842519e-08 -8.757946e-06
1.340020e+01  1.271977e-14 -1.717856e-08 -5.506604e-06
1.400635e+01  2.883957e-14 -6.099798e-09 -3.305886e-06
1.466922e+01  2.082434e-14 -1.641927e-09 -1.897294e-06
1.538787e+01 -7.996232e-16 -9.222386e-10 -1.043994e-06
1.616056e+01 -1.737349e-14 -1.423675e-09 -5.529047e-07
1.698474e+01 -1.707887e-14 -1.430387e-09 -2.821119e-07
1.785703e+01 -3.187116e-15 -5.252624e-10 -1.375211e-07
1.877332e+01  1.059893e-14  5.913076e-10 -6.281087e-08
1.972878e+01  1.283793e-14  9.993078e-10 -2.671839e-08
2.071794e+01  3.647023e-15  4.635747e-10 -1.167870e-08
2.173476e+01 -7.035163e-15 -4.046060e-10 -6.683915e-09
2.277275e+01 -9.489647e-15 -7.825126e-10 -4.686888e-09
2.382505e+01 -2.720442e-15 -3.982681e-10 -2.403730e-09
2.488458e+01  5.954703e-15  2.956919e-10  1.703081e-10
2.594410e+01  8.665602e-15  6.284732e-10  1.588957e-09
2.699641e+01  4.086689e-15  3.467629e-10  1.108203e-09
2.803440e+01 -2.421584e-15 -2.157719e-10 -4.404215e-10
2.905122e+01 -4.680974e-15 -5.206728e-10 -1.480014e-09
3.004038e+01 -1.351865e-15 -3.305968e-10 -1.132206e-09
3.099584e+01  3.626694e-15  1.291060e-10  1.456030e-10
3.191213e+01  5.319177e-15  4.346276e-10  1.166530e-09
3.278442e+01  2.250329e-15  3.501766e-10  1.125760e-09
3.360859e+01 -2.806771e-15 -1.044137e-11  1.910820e-10
3.438128e+01 -5.697451e-15 -3.336064e-10 -8.014847e-10
3.509994e+01 -4.380177e-15 -3.814946e-10 -1.108898e-09
3.576280e+01 -1.737732e-16 -1.530253e-10 -6.071547e-10
3.636895e+01  3.717237e-15  1.619358e-10  2.506548e-10
3.691825e+01  4.721169e-15  3.498991e-10  8.654528e-10
3.741132e+01  2.462773e-15  3.151239e-10  9.080497e-10
3.784951e+01 -1.423860e-15  1.096395e-10  4.505228e-10
3.823481e+01 -4.644414e-15 -1.332874e-10 -1.809755e-10
3.856978e+01 -5.616843e-15 -2.917371e-10 -6.521229e-10
3.885747e+01 -4.085048e-15 -3.125004e-10 -7.904612e-10
3.910135e+01 -8.923618e-16 -2.148516e-10 -6.149272e-10
3.930515e+01  2.682990e-15 -5.878446e-11 -2.633214e-10
3.947283e+01  5.556951e-15  9.306652e-11  1.061028e-10
3.960844e+01  7.165977e-15  1.998342e-10  3.825973e-10
3.971604e+01  7.474255e-15  2.484054e-10  5.238029e-10
3.979960e+01  6.791786e-15  2.466581e-10  5.420036e-10
3.986293e+01  5.553040e-15  2.123840e-10  4.772134e-10
